entity_type,observable_type,observable_value,x_opencti_score,confidence,x_opencti_description,x_opencti_labels
indicator,Text,Cryptocurrency.asbaquin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CryptoCurrencyExtensions.blehai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CryptoFoundation.BlehBleh,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CryptoPublisher.aidebut,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CSF-RED.CSF-RED,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,csvmech.csvrainbow,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,culvequeaka.Descargar-TRAIN-CREW-Prologue-gratuita-2022,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cweijamysq.sync-settings-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,dafsfsdsfdfsdf11.randomic-slaying-pog,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DanielBlockchain.chocosnack,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Dart-vsc.code-dart,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DaveWeb3.choccie,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DavidAsh.dcbox-vs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DavidAsh.gruvbox-vs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DavidAsh.tr-lang-pack,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,devcodaro.codaro-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,devokai.codesleep,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,devokaicode.codesleepai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,devokaicode.cosave,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,dfadhel.vscodepython,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,dingdao-opensource.pwa-kit-studio,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,discord-inc.discord-rich-presence-rpc,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,dontdownloadthis.dontdownloadthis,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DotRush.dotrushV2-0,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,eamodas.shiny-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EchelonStudios.blockchain-language-support,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EfferSmart.code-studio-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EfferSmart.qoodo-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EffetMer.darkgpt,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EHooley.solibity-lang,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EladNahman.Super-Cool-Extension,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EllisonBrett.givingblankies,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ErickChandra.socratic-code-hinter,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EricWrite.dsafsadas,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,esonhugh.weaponized,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ethanielliu.audit-helper,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ethcompiler.among-eth,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EtherFoundation.vs-ranket,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ethers.ethersfoundry,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,EthersFoundation.bogitiy,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ETHFoundry.etherfoundrys,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,evaera-rbx.vscode-rojo-rbx,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Expressjs.expressjs-session,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-A.wow1language,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-Genre.bold-start,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-Topic.bulgarian,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-Topic.coffeescript,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Extensions-Topic.german,90,90,Removed from VS Marketplace: Malware.,malware;critical
