ExtensionId,PublisherId,Severity,Category,Comment,Source
checkmarx.cx-dev-assist,checkmarx,critical,malware,compromised - Malicious Checkmarx Artifacts Found in Official KICS Docker Repository and Code Extensions,static_list
clacla100.claudemem,clacla100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
clacla100.cosave100,clacla100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
clawdbot.clawdbot-agent,clawdbot,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
clicli100.openclaw100,clicli100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
clicli100.windsurf100,clicli100,critical,malware,Removed from VS Marketplace: malware.,microsoft_removed_packages
cline-ai-main.cline-ai-agent,cline-ai-main,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
closedtierenchant.vscode-awesome-icons,closedtierenchant,critical,malware,sleeper extension - glassworm supply chain,static_list
CloudianApp.CloudianCompanion-56d02aa8da72,CloudianApp,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
cobot100.cosave101,cobot100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
cobot100.cursor100,cobot100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
cobot100.kilobrasil,cobot100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
cobot100.kilochinese,cobot100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
cobot100.kilojapan,cobot100,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
codbroks.compile-runnner-extension,codbroks,critical,malware,compromised - glassworm supply chain attack,static_list
CodeSecureDev.dependency-scan,CodeSecureDev,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
codevunmis.csv-sql-tsv-rainbow,codevunmis,critical,malware,compromised - glassworm supply chain attack,static_list
codwayexten.code-way-extension,codwayexten,critical,malware,compromised - glassworm supply chain attack,static_list
cosmic-themes.sql-formatter,cosmic-themes,critical,malware,compromised - glassworm supply chain attack,static_list
cosmic-themes.theme-cosmic-nebula,cosmic-themes,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
countrepresent49.code-image-preview,countrepresent49,critical,malware,sleeper extension - glassworm supply chain,static_list
craz2team.vscode-todo-extension,craz2team,critical,malware,compromised - glassworm supply chain attack,static_list
crotoapp.vscode-xml-extension,crotoapp,critical,malware,compromised - glassworm supply chain attack,static_list
Crypto-Extensions.SnowShsoNo,Crypto-Extensions,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Cryptocurrency.asbaquin,Cryptocurrency,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
CryptoCurrencyExtensions.blehai,CryptoCurrencyExtensions,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
CryptoFoundation.BlehBleh,CryptoFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
CryptoPublisher.aidebut,CryptoPublisher,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
CSF-RED.CSF-RED,CSF-RED,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
csvmech.csvrainbow,csvmech,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
cubedivervolt.html-code-validate,cubedivervolt,critical,malware,confirmed malicious - glassworm supply chain,static_list
cudra-production.vsce-prettier-pro,cudra-production,critical,malware,compromised - glassworm supply chain attack,static_list
culvequeaka.Descargar-TRAIN-CREW-Prologue-gratuita-2022,culvequeaka,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
cweijamysq.sync-settings-vscode,cweijamysq,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
daeumer-web.es-linter-for-vs-code,daeumer-web,critical,malware,compromised - glassworm supply chain attack,static_list
dafsfsdsfdfsdf11.randomic-slaying-pog,dafsfsdsfdfsdf11,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
dalsoven.intellij-live-pilot,dalsoven,critical,malware,sleeper extension - glassworm supply chain,static_list
dalsovik.dbclient-quick-suite,dalsovik,critical,malware,sleeper extension - glassworm supply chain,static_list
DanielBlockchain.chocosnack,DanielBlockchain,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
dark-code-studio.flutter-extension,dark-code-studio,critical,malware,compromised - glassworm supply chain attack,static_list
Dart-vsc.code-dart,Dart-vsc,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
DaveWeb3.choccie,DaveWeb3,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
DavidAsh.dcbox-vs,DavidAsh,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
DavidAsh.gruvbox-vs,DavidAsh,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
DavidAsh.tr-lang-pack,DavidAsh,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
densy-little-studio.wonder-for-vscode-icons,densy-little-studio,critical,malware,compromised - glassworm supply chain attack,static_list
dep-labs-studio.dep-proffesinal-extension,dep-labs-studio,critical,malware,compromised - glassworm supply chain attack,static_list
dev-studio-sense.php-comp-tools-vscode,dev-studio-sense,critical,malware,compromised - glassworm supply chain attack,static_list
devcodaro.codaro-pro,devcodaro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
devmidu-studio.svg-better-extension,devmidu-studio,critical,malware,compromised - glassworm supply chain attack,static_list
devokai.codesleep,devokai,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
devokaicode.codesleepai,devokaicode,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
devokaicode.cosave,devokaicode,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
dfadhel.vscodepython,dfadhel,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
dingdao-opensource.pwa-kit-studio,dingdao-opensource,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
discord-inc.discord-rich-presence-rpc,discord-inc,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
dontdownloadthis.dontdownloadthis,dontdownloadthis,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
dopbop-studio.vscode-tailwindcss-extension-toolkit,dopbop-studio,critical,malware,compromised - glassworm supply chain attack,"microsoft_removed_packages,static_list"
DotRush.dotrushV2-0,DotRush,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
draconzal.phpstan-easy-hub,draconzal,critical,malware,sleeper extension - glassworm supply chain,static_list
dranaven.flask-live-craft,dranaven,critical,malware,sleeper extension - glassworm supply chain,static_list
drovenko.data-live-suite,drovenko,critical,malware,sleeper extension - glassworm supply chain,static_list
eamodas.shiny-vscode,eamodas,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EchelonStudios.blockchain-language-support,EchelonStudios,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EfferSmart.code-studio-pro,EfferSmart,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EfferSmart.qoodo-ai,EfferSmart,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EffetMer.darkgpt,EffetMer,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EHooley.solibity-lang,EHooley,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EladNahman.Super-Cool-Extension,EladNahman,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
EllisonBrett.givingblankies,EllisonBrett,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
emotionkyoseparate.turkish-language-pack,emotionkyoseparate,critical,malware,sleeper extension - glassworm supply chain,static_list
epichipporedeem.prettier-eslint-formatter,epichipporedeem,critical,malware,sleeper extension - glassworm supply chain,static_list
