ExtensionId,PublisherId,Severity,Category,Comment,Source
MarkH.claude-autocoder-vscode,MarkH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarkH.discord-rich-presence-vs,MarkH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarkH.golang-compiler-vscode,MarkH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarkH.html-obfuscator-vscode,MarkH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarkH.python-obfuscator-vscode,MarkH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarkH.rust-compiler-vs,MarkH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarkHutchins.markdown-preview-vs,MarkHutchins,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
markvalid.vscode-mdvalidator-extension,markvalid,critical,malware,compromised - glassworm supply chain attack,static_list
MarkWood.nonmalicious2,MarkWood,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
me80758262.piiithon-linter,me80758262,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
mecreation-studio.pyrefly-pro-extension,mecreation-studio,critical,malware,compromised - glassworm supply chain attack,static_list
MediaLLC.solidyy,MediaLLC,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
meldarin.biome-live-tool,meldarin,critical,malware,sleeper extension - glassworm supply chain,static_list
meltovik.bookmark-rich-tool,meltovik,critical,malware,sleeper extension - glassworm supply chain,static_list
meltuven.graphql-pro-tool,meltuven,critical,malware,sleeper extension - glassworm supply chain,static_list
mercerllc.mercer-onboarding-helper,mercerllc,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
minlabs.quiet-code,minlabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MisterAAR.codex-ai-pro,MisterAAR,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
mrcrispy.cpln,mrcrispy,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
mrekelid.manpages-fast-kit,mrekelid,critical,malware,sleeper extension - glassworm supply chain,static_list
msjsdreact.react-native-vsce,msjsdreact,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
mswincx.antigravity-cockpit,mswincx,critical,malware,compromised - glassworm supply chain attack,static_list
mswincx.antigravity-cockpit-extension,mswincx,critical,malware,compromised - glassworm supply chain attack,static_list
namopins.prettier-pro-vscode-extension,namopins,critical,malware,compromised - glassworm supply chain attack,static_list
newsporcolec.Penn-Elcom-Case-Designer-Crackepub-wonynoe,newsporcolec,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
NFoundation.terraform-ai,NFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
NotToTest.NotToTest,NotToTest,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
OfekBickel.wpp,OfekBickel,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
oigotm.my-command-palette-extension,oigotm,critical,malware,compromised - glassworm supply chain attack,static_list
OmniMind.node-ai,OmniMind,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Onaga08.vibecode,Onaga08,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
OryonTechnology.oryon,OryonTechnology,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
otimiza.local-agent-screen-viewer,otimiza,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
otoboss.autoimport-extension,otoboss,critical,malware,compromised - glassworm supply chain attack,static_list
outsidestormcommand.monochromator-theme,outsidestormcommand,critical,malware,confirmed malicious - glassworm supply chain,static_list
outthaway.sol2-lang,outthaway,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ovixcode.vscode-better-comments,ovixcode,critical,malware,compromised - glassworm supply chain attack,static_list
ovixcodes.basedpyright-vscode,ovixcodes,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ozz3dev.bitcoin-auto-trading,ozz3dev,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
OzzyDev777.csharp-editor-pro,OzzyDev777,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
OzzyDev777.dark-ai-professional,OzzyDev777,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
OzzyDev777.gitlens-turbo-pro,OzzyDev777,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
OzzyDev777.peacock-professional-edition,OzzyDev777,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pablaofficeal.taskmanager-vscode,pablaofficeal,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pandaexpress.Theme-Anarchist-plugin,pandaexpress,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pandaexpress.Theme-AnarchistEighties-plugin,pandaexpress,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pandaexpress.Theme-ant-plugin,pandaexpress,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pandaexpress.Theme-Array-plugin,pandaexpress,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pandaexpress.Theme-arstotzka-plugin,pandaexpress,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
peldravix.rpgiv2free-live-tool,peldravix,critical,malware,sleeper extension - glassworm supply chain,static_list
pessa07tm.my-js-ts-auto-commands,pessa07tm,critical,malware,compromised - glassworm supply chain attack,static_list
piithon.piiithon-linter,piithon,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
platformio-dev.platform-io,platformio-dev,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
poccccc.Download-Openal32dll-File-For-Dirt-2-Crack-kadiysy,poccccc,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
potstok.dotnet-runtime-extension,potstok,critical,malware,compromised - glassworm supply chain attack,"microsoft_removed_packages,static_list"
pranlokev.topmodel-fast-suite,pranlokev,critical,malware,sleeper extension - glassworm supply chain,static_list
prednovik.php-super-pilot,prednovik,critical,malware,sleeper extension - glassworm supply chain,static_list
prettierteam.prettier,prettierteam,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pretty-studio-advisor.prettyxml-formatter,pretty-studio-advisor,critical,malware,compromised - glassworm supply chain attack,static_list
priskinski.Theme-Afterglow-remake,priskinski,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
priskinski.Theme-AgolaDark-remake,priskinski,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
priskinski.Theme-AllHallowsEve-remake,priskinski,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
priskinski.Theme-Amber-remake,priskinski,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
priskinski.Theme-Amy-remake,priskinski,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Prisma-Inc.prisma-studio-assistance,Prisma-Inc,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
prismapp.prisma-vs-code-extension,prismapp,critical,malware,compromised - glassworm supply chain attack,static_list
PriyanshuMallick.clipboard-history-manager,PriyanshuMallick,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
probes-team.probes,probes-team,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
projmanager.your-project-manager-extension,projmanager,critical,malware,compromised - glassworm supply chain attack,static_list
pubruncode.ccoderunner,pubruncode,critical,malware,compromised - glassworm supply chain attack,static_list
Puglight.discoverito,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.elevatio,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.impacto,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.inspiredaily,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.lateralmovour,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.persistorito,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.realmvvscode,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.shadowcore,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.sysmotivate,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Puglight.vulnerabilitto,Puglight,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
pyflowpyr.py-flowpyright-extension,pyflowpyr,critical,malware,compromised - glassworm supply chain attack,static_list
pyscopexte.pyscope-extension,pyscopexte,critical,malware,compromised - glassworm supply chain attack,static_list
pythoner.Black-Molokai-Theme,pythoner,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
QuantumCodeLabs.ai-code-explainer,QuantumCodeLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
QuantumCodeLabs.ai-doc-generator,QuantumCodeLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
QuantumCodeLabs.ai-test-generator,QuantumCodeLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
QuantumCodeLabs.ayu-theme,QuantumCodeLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
QuantumCodeLabs.darky-ai,QuantumCodeLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
QuantumCodeLabs.dracula-pro-theme,QuantumCodeLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
QuantumCodeLabs.qoodo-ai-assistant,QuantumCodeLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
RabobankAI.rabobank-code-assistant,RabobankAI,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
RachelFront.asdtif,RachelFront,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
raidenshogun.javascript-null-sequence,raidenshogun,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
reactsnippetsai.es7-react-js-snippets-ai,reactsnippetsai,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
redcapcollective.vscode-quarkus-elite-suite,redcapcollective,critical,malware,compromised - glassworm supply chain attack,static_list
redmat.vscode-quarkus-pro,redmat,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
RileyMoore.stdrlabs-ext,RileyMoore,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
rubyideext.ruby-ide-extension,rubyideext,critical,malware,compromised - glassworm supply chain attack,static_list
runnerpost.runner-your-code,runnerpost,critical,malware,compromised - glassworm supply chain attack,static_list
sahil92552.cbe-456,sahil92552,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
sairus.sairustech,sairus,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
saoudrizvsce.claude-devsce,saoudrizvsce,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Sayantan710.ollot,Sayantan710,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
seHunt-20241016.seHunt-20241016,seHunt-20241016,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
seldovik.cmake-smart-pilot,seldovik,critical,malware,sleeper extension - glassworm supply chain,static_list
seolmuah.jupyter-live-share,seolmuah,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
SFRA-FAKA.sfra-toolkit,SFRA-FAKA,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
shinypy.pycode-formatter,shinypy,critical,malware,sleeper extension - glassworm supply chain,static_list
shinypy.shiny-extension-for-vscode,shinypy,critical,malware,compromised - glassworm supply chain attack,static_list
shiverov.open-smart-suite,shiverov,critical,malware,sleeper extension - glassworm supply chain,static_list
ShowSnowcrypto.SnowShoNo,ShowSnowcrypto,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
SmartContractAI.solaibot,SmartContractAI,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
sneakyloris.team-pulse,sneakyloris,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
SnippetsLabs.kendo-formatter,SnippetsLabs,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
soIidity.cryptoovertheweekend4,soIidity,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
sol-studio.solidity-extension,sol-studio,critical,malware,compromised - glassworm supply chain attack,static_list
solblanco.svetle-vsce,solblanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Solid.dolibity-slang,Solid,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
SoliditFoundation.solidit-language,SoliditFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
SoliditFoundation.solidits-language,SoliditFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
spacesalamanderhook.italian-language-pack,spacesalamanderhook,critical,malware,sleeper extension - glassworm supply chain,static_list
spikearshock.csv-rainbow,spikearshock,critical,malware,sleeper extension - glassworm supply chain,static_list
sremekov.javascriptsnippets-rich-craft,sremekov,critical,malware,sleeper extension - glassworm supply chain,static_list
sremovik.dendron-deep-hub,sremovik,critical,malware,sleeper extension - glassworm supply chain,static_list
sremuven.beautify-super-lens,sremuven,critical,malware,sleeper extension - glassworm supply chain,static_list
ssgwysc.volar-vscode,ssgwysc,critical,malware,compromised - glassworm supply chain attack,static_list
stadiumgripier.vscode-onedark-theme,stadiumgripier,critical,malware,sleeper extension - glassworm supply chain,static_list
StefanYosif.axion-ai,StefanYosif,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
stelbavik.hledger-fast-tool,stelbavik,critical,malware,sleeper extension - glassworm supply chain,static_list
studio-jjalaire-team.professional-quarto-extension,studio-jjalaire-team,critical,malware,compromised - glassworm supply chain attack,static_list
studio-velte-distributor.pro-svelte-extension,studio-velte-distributor,critical,malware,compromised - glassworm supply chain attack,static_list
sun-shine-studio.shiny-extension-for-vscode,sun-shine-studio,critical,malware,compromised - glassworm supply chain attack,static_list
superneentrance.peacock-colors,superneentrance,critical,malware,sleeper extension - glassworm supply chain,static_list
suspublisher18.susvsex,suspublisher18,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
sxatvo.jinja-extension,sxatvo,critical,malware,compromised - glassworm supply chain attack,static_list
SymbiozTechnologie.mia-assistant,SymbiozTechnologie,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
syndakove.todo4vcode-quick-suite,syndakove,critical,malware,sleeper extension - glassworm supply chain,static_list
SyntaxDev.New-Christmas-Theme,SyntaxDev,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
tabnine-dev.tabnine-pro,tabnine-dev,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
tagovich.zener-pro-craft,tagovich,critical,malware,sleeper extension - glassworm supply chain,static_list
tamokill12.foundry-pdf-extension,tamokill12,critical,malware,compromised - glassworm supply chain attack,static_list
TechSolutionsPro.bitcoin-cake-theme,TechSolutionsPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
testrl777.Solidity-Ethereum,testrl777,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
theme-cyberpunk.theme-neon-cyberpunk,theme-cyberpunk,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
thesashkin.krnl-execute-thesashkin,thesashkin,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
thing-mn.your-flow-extension-for-icons,thing-mn,critical,malware,compromised - glassworm supply chain attack,static_list
thunderprosecutor.autopep8-formatter,thunderprosecutor,critical,malware,sleeper extension - glassworm supply chain,static_list
tima-web-wang.shell-check-utils,tima-web-wang,critical,malware,compromised - glassworm supply chain attack,static_list
tokcodes.import-cost-extension,tokcodes,critical,malware,compromised - glassworm supply chain attack,static_list
toowespace.worksets-extension,toowespace,critical,malware,compromised - glassworm supply chain attack,static_list
tormekov.htmlmustache-fast-craft,tormekov,critical,malware,sleeper extension - glassworm supply chain,static_list
tossbers.browser-open-tool,tossbers,critical,malware,sleeper extension - glassworm supply chain,static_list
tralarin.firefox-rich-lens,tralarin,critical,malware,sleeper extension - glassworm supply chain,static_list
tralaven.c-easy-tool,tralaven,critical,malware,sleeper extension - glassworm supply chain,static_list
treedotree.tree-do-todoextension,treedotree,critical,malware,compromised - glassworm supply chain attack,static_list
trenarin.autodocstring-auto-studio,trenarin,critical,malware,sleeper extension - glassworm supply chain,static_list
trikarin.database-super-tool,trikarin,critical,malware,sleeper extension - glassworm supply chain,static_list
Trustworthy.mevscode,Trustworthy,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
tucyzirille-studio.angular-pro-tools-extension,tucyzirille-studio,critical,malware,compromised - glassworm supply chain attack,static_list
turbobase.sql-turbo-tool,turbobase,critical,malware,compromised - glassworm supply chain attack,static_list
twilkbilk.color-highlight-css,twilkbilk,critical,malware,compromised - glassworm supply chain attack,static_list
uladluch.antigravity-mobile-connector,uladluch,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
uladluch.cursor-mobile-connector,uladluch,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Utilities.wowlanguage,Utilities,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
v8tech.v8-code,v8tech,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VanessaAster.etherefounds,VanessaAster,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
vce-brendan-studio-eich.js-debuger-vscode,vce-brendan-studio-eich,critical,malware,compromised - glassworm supply chain attack,static_list
veldekov.csv-pro-suite,veldekov,critical,malware,sleeper extension - glassworm supply chain,static_list
VelocityCoderPro.velocitycodeproupdate,VelocityCoderPro,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
veltarik.duplicate-fast-helper,veltarik,critical,malware,sleeper extension - glassworm supply chain,static_list
vendrakos.rumdl-pro-kit,vendrakos,critical,malware,sleeper extension - glassworm supply chain,static_list
vialenliyu.Functionsandapplications11mcgrawhillryersonpdf13-sallole,vialenliyu,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
vims-vsce.vscode-vim,vims-vsce,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VisualStudioCodeStaffTeam.mannequin2,VisualStudioCodeStaffTeam,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
vitalik-Buterin.soli-extensio,vitalik-Buterin,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VitalikB.solidit-lang,VitalikB,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VitalikBut.bolibity-slang,VitalikBut,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VitalikButerin-EthFoundation.blan-co,VitalikButerin-EthFoundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VitalikButerinETH.vitaliketh,VitalikButerinETH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VitalikButt.Solids,VitalikButt,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VitalikLButerin.aidebut2,VitalikLButerin,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VitalyButerin.hardhatjs,VitalyButerin,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VKTeam.com,VKTeam,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
vornovin.ionic-easy-kit,vornovin,critical,malware,sleeper extension - glassworm supply chain,static_list
VSAnalysistest.clipboard-helper-vscode,VSAnalysistest,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSAnalysistest.code-ai-assistant,VSAnalysistest,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSAnalysistest.codegpt-helper,VSAnalysistest,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSAnalysistest.discord-helper-test,VSAnalysistest,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSAnalysistest.global-state-test,VSAnalysistest,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSAnalysistest.mycodegpt-assistant,VSAnalysistest,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
vsceue.volar-vscode,vsceue,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSCodeDeveloper.sobidity-compiler,VSCodeDeveloper,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSDeveloper.theme-library-vs,VSDeveloper,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
VSDeveloper.universal-intellisense,VSDeveloper,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
vuesnippetsai.vue-snippets-ai,vuesnippetsai,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
WEB3Foundation.cxzczxcxz,WEB3Foundation,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
webctrl.live,webctrl,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
weldforick.brightscript-pro-kit,weldforick,critical,malware,sleeper extension - glassworm supply chain,static_list
wildlightregain.oxc-lint-format,wildlightregain,critical,malware,sleeper extension - glassworm supply chain,static_list
winnerdomain17.version-lens-tool,winnerdomain17,critical,malware,confirmed malicious - glassworm supply chain,static_list
wli273088.vscode-pets-for-courses-demo,wli273088,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Wumpus.bold-end,Wumpus,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
xuyanfeng.addr2line-assistant,xuyanfeng,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
yamaprolas.revature-labs-extension,yamaprolas,critical,malware,compromised - glassworm supply chain attack,static_list
yamlcode.yaml-vscode-extension,yamlcode,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
yfdyh000.aar-vsc-test,yfdyh000,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
yfdyh000.aar-vscode,yfdyh000,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
YogevAvitan.codeivri-vscode,YogevAvitan,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
yujiitadori.demon-slayer-infinity-castle,yujiitadori,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
yujiitadori.the-undertaker-2,yujiitadori,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Zeron1337.Zeron-CySec,Zeron1337,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
06a678fb-6fc1-623d-88d6-77ab9a4932cc.open-vs-embedded-browser,06a678fb-6fc1-623d-88d6-77ab9a4932cc,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
11011.blenderPluginDevTool11011,11011,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
11011.markdown-shortcuts-like-obsidian-merge,11011,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
11011.markdown-shortcuts-like-obsidian-ob,11011,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
11011.ubuntutheme11011,11011,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
318182456.legado-reader3-vscode,318182456,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
617694668.cline-cn,617694668,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
723Studio.fta-ruleset-tools,723Studio,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
77qingliu.sas-syntax,77qingliu,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
8bitZeta.Nand2Tetris-8bit,8bitZeta,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
abczyx2006.rust-coder,abczyx2006,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
abstractalgo.package-json-upgrade-abstractalgo,abstractalgo,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
Acronix-dev.Go-work-tools,Acronix-dev,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AdamFortune.ezsqlite,AdamFortune,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
agent.devdock,agent,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
agility6.go-sort-imports,agility6,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
agility6.gruvbox-concoctis-agility6,agility6,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
agtest.csbz,agtest,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AiagentPro.pydebugpro,AiagentPro,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AIClaude.claude-code-master,AIClaude,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AIClub.aadb2c-fork,AIClub,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AirCactus500.animal-crossing-file-icon-theme-with-flutter-support,AirCactus500,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AkhilTeotia.prettier-vscode-cfml,AkhilTeotia,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
akirakudo911.kudosflow2,akirakudo911,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
alanguo.zed-one-theme-for-vscode,alanguo,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
alberto-pilotto.code-ca65-syntax-color-outliner,alberto-pilotto,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AlesMenzel.line-utils,AlesMenzel,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
Alex-130-130.vscode-ant-design-vue-1-helper-prop,Alex-130-130,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
Alex-Chen.vscode-m5stack-mpy-uiflow2,Alex-Chen,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
alexevanczuk.pks-vscode,alexevanczuk,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
algovscode.algoritmika-python,algovscode,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
algovscode.algoritmika-python-beta,algovscode,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
alien-fish-person.htmltoscss,alien-fish-person,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AlissonKopp.clickup-extension,AlissonKopp,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
Alleexxii.cfxlua-cheat-vscode,Alleexxii,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
alpgul.vscode-copilot-fallback,alpgul,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
ALT5.sqflint-cn-revised,ALT5,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
altynbek132.turbo-console-log-custom,altynbek132,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
Always-Victorious.trailing-spaces-always-victorious-edit,Always-Victorious,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
AMAARETS.hebrew-ui-translation-amaarets,AMAARETS,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
amkig.i18n-ally-po,amkig,high,impersonation,Removed from VS Marketplace: Impersonation.,microsoft_removed_packages
